Setting up Perceptual loss...
Loading model from: /home/mehmetturan/virasoft_projects/gaugan/segmentation/fat_pytorch_lit/FastGAN-pytorch/lpips/weights/v0.1/vgg.pth
...[net-lin [vgg]] initialized
...Done
Namespace(path='../fat_data/fat_detection/ann_dir/train/', cuda=0, name='test1', iter=100000, start_iter=0, batch_size=8, im_size=512, ckpt='None')
GAN: loss d: 6.77811    loss g: -3.28132
GAN: loss d: 7.88292    loss g: -3.72495
GAN: loss d: 7.17197    loss g: -3.66062
GAN: loss d: 7.63191    loss g: -3.42817
GAN: loss d: 7.66186    loss g: -3.34837
GAN: loss d: 7.33413    loss g: -3.42164
GAN: loss d: 7.07682    loss g: -3.23285
GAN: loss d: 6.91431    loss g: -3.11097
GAN: loss d: 7.73474    loss g: -3.10405
GAN: loss d: 7.13735    loss g: -3.19744
GAN: loss d: 8.04892    loss g: -3.16626
GAN: loss d: 7.80763    loss g: -3.03188
GAN: loss d: 6.48201    loss g: -3.22560
GAN: loss d: 7.23336    loss g: -3.13345
GAN: loss d: 7.85599    loss g: -3.08283
GAN: loss d: 7.59152    loss g: -3.25491
GAN: loss d: 8.44620    loss g: -3.37891
GAN: loss d: 7.79557    loss g: -3.05429
GAN: loss d: 7.04948    loss g: -3.07118
GAN: loss d: 7.59920    loss g: -3.04583
GAN: loss d: 7.48674    loss g: -3.43942
GAN: loss d: 6.99474    loss g: -3.30925
GAN: loss d: 7.45964    loss g: -3.36437
GAN: loss d: 7.87807    loss g: -3.28017
GAN: loss d: 5.64405    loss g: -3.49698
GAN: loss d: 7.21751    loss g: -3.57562
GAN: loss d: 6.44418    loss g: -3.06777
GAN: loss d: 6.33621    loss g: -3.59636
GAN: loss d: 5.86728    loss g: -3.40652
GAN: loss d: 5.88884    loss g: -3.19579
GAN: loss d: 7.11502    loss g: -3.06574
GAN: loss d: 5.43306    loss g: -3.19598
GAN: loss d: 6.65207    loss g: -3.02903
GAN: loss d: 7.66212    loss g: -2.96486
GAN: loss d: 9.19971    loss g: -2.89566
GAN: loss d: 8.54667    loss g: -2.76190
GAN: loss d: 8.11898    loss g: -2.86073
GAN: loss d: 6.94992    loss g: -2.93209
GAN: loss d: 8.17795    loss g: -3.17854
GAN: loss d: 8.04770    loss g: -2.94460
GAN: loss d: 7.97011    loss g: -3.02030
GAN: loss d: 7.72342    loss g: -2.90686
GAN: loss d: 6.79653    loss g: -3.05496
GAN: loss d: 7.51254    loss g: -2.99626
GAN: loss d: 7.63793    loss g: -2.80921
GAN: loss d: 7.49886    loss g: -2.81273
GAN: loss d: 7.18208    loss g: -2.97763
GAN: loss d: 5.55265    loss g: -2.76040
GAN: loss d: 7.08519    loss g: -3.25150
GAN: loss d: 7.53713    loss g: -3.04284
GAN: loss d: 7.35287    loss g: -3.02509
GAN: loss d: 7.94569    loss g: -2.92113
GAN: loss d: 7.24177    loss g: -3.08598
GAN: loss d: 9.11208    loss g: -2.73592
GAN: loss d: 7.04613    loss g: -2.52155
GAN: loss d: 7.60982    loss g: -2.64097
GAN: loss d: 6.72131    loss g: -2.51896
GAN: loss d: 7.98937    loss g: -3.01625
GAN: loss d: 8.38970    loss g: -2.42898
GAN: loss d: 7.95498    loss g: -2.52580
GAN: loss d: 7.09280    loss g: -2.51286
GAN: loss d: 8.22035    loss g: -2.49533
GAN: loss d: 7.88236    loss g: -3.09662
GAN: loss d: 7.62291    loss g: -2.73698
GAN: loss d: 8.02392    loss g: -2.62534
GAN: loss d: 8.21428    loss g: -2.92686
GAN: loss d: 7.99862    loss g: -2.72601
GAN: loss d: 7.97313    loss g: -2.55569
GAN: loss d: 7.76346    loss g: -2.56663
GAN: loss d: 7.63568    loss g: -2.72729
GAN: loss d: 7.92562    loss g: -2.81473
GAN: loss d: 7.69692    loss g: -3.04133
GAN: loss d: 8.60559    loss g: -2.79721
GAN: loss d: 7.49813    loss g: -2.98419
GAN: loss d: 8.24426    loss g: -2.73095
GAN: loss d: 8.41981    loss g: -2.44886
GAN: loss d: 8.23678    loss g: -3.12825
GAN: loss d: 7.97119    loss g: -2.62057
GAN: loss d: 8.09838    loss g: -2.55474
GAN: loss d: 7.96601    loss g: -2.55385
GAN: loss d: 7.94765    loss g: -2.89090
GAN: loss d: 7.42641    loss g: -2.78936
GAN: loss d: 7.98902    loss g: -2.59406
GAN: loss d: 8.01253    loss g: -2.38404
GAN: loss d: 7.58952    loss g: -2.67412
GAN: loss d: 7.72547    loss g: -2.41852
GAN: loss d: 6.81531    loss g: -2.79753
GAN: loss d: 7.55488    loss g: -2.92728
GAN: loss d: 8.37316    loss g: -3.08309
GAN: loss d: 8.18499    loss g: -2.85351
GAN: loss d: 8.23765    loss g: -3.11541
GAN: loss d: 7.90814    loss g: -3.22491
GAN: loss d: 7.40809    loss g: -3.57494
GAN: loss d: 6.81529    loss g: -3.21181
GAN: loss d: 7.06986    loss g: -3.54081
GAN: loss d: 7.99330    loss g: -3.45205
GAN: loss d: 7.41069    loss g: -3.54479
GAN: loss d: 7.15900    loss g: -3.06122
GAN: loss d: 7.71111    loss g: -3.26838
GAN: loss d: 7.66801    loss g: -2.87833
GAN: loss d: 6.75629    loss g: -3.01298
GAN: loss d: 7.94793    loss g: -3.11230
GAN: loss d: 7.66541    loss g: -3.06030
GAN: loss d: 7.99130    loss g: -3.19322
GAN: loss d: 7.78898    loss g: -3.14902
GAN: loss d: 7.61685    loss g: -3.01627
GAN: loss d: 7.72360    loss g: -3.06412
GAN: loss d: 7.54690    loss g: -3.11144
GAN: loss d: 8.39713    loss g: -3.00725
GAN: loss d: 7.78533    loss g: -3.06121
GAN: loss d: 7.36297    loss g: -3.22896
GAN: loss d: 7.70283    loss g: -2.94668
GAN: loss d: 7.70095    loss g: -2.76789
GAN: loss d: 5.47372    loss g: -2.90954
GAN: loss d: 8.78625    loss g: -2.84407
GAN: loss d: 7.47283    loss g: -2.76895
GAN: loss d: 8.45151    loss g: -2.94212
GAN: loss d: 8.49387    loss g: -2.86438
GAN: loss d: 8.09588    loss g: -2.99260
GAN: loss d: 8.35455    loss g: -2.91974
GAN: loss d: 8.11747    loss g: -3.06497
GAN: loss d: 7.92178    loss g: -2.90110
GAN: loss d: 8.21997    loss g: -2.36060
GAN: loss d: 8.44182    loss g: -2.59601
GAN: loss d: 8.97037    loss g: -2.66192
GAN: loss d: 8.60085    loss g: -3.17115
GAN: loss d: 8.66743    loss g: -3.09941
GAN: loss d: 8.74396    loss g: -2.71657
GAN: loss d: 8.50439    loss g: -2.98355
GAN: loss d: 8.72776    loss g: -3.04343
GAN: loss d: 8.69351    loss g: -2.73085
GAN: loss d: 8.88689    loss g: -2.44472
GAN: loss d: 7.88983    loss g: -2.69526
GAN: loss d: 7.28200    loss g: -2.72144
GAN: loss d: 8.52749    loss g: -2.82624
GAN: loss d: 7.86510    loss g: -2.72132
GAN: loss d: 8.67251    loss g: -2.71778
GAN: loss d: 7.73215    loss g: -2.85228
GAN: loss d: 8.66570    loss g: -2.77464
GAN: loss d: 7.70735    loss g: -2.88766
GAN: loss d: 8.39651    loss g: -2.89326
GAN: loss d: 7.49767    loss g: -3.09197
GAN: loss d: 7.16056    loss g: -3.18259
GAN: loss d: 7.32915    loss g: -3.00742
GAN: loss d: 7.11096    loss g: -2.71751
GAN: loss d: 7.36310    loss g: -2.95157
GAN: loss d: 7.68810    loss g: -2.85259
GAN: loss d: 7.59225    loss g: -3.22528
GAN: loss d: 8.33773    loss g: -2.68797
GAN: loss d: 8.08338    loss g: -2.96817
GAN: loss d: 7.94914    loss g: -2.85546
GAN: loss d: 7.88518    loss g: -3.13122
GAN: loss d: 7.22696    loss g: -2.88867
GAN: loss d: 8.27597    loss g: -2.70288
GAN: loss d: 7.78738    loss g: -3.09297
GAN: loss d: 7.49219    loss g: -3.04124
GAN: loss d: 7.73237    loss g: -2.73814
